No. of Elements(n),No. of Comparision (count),n*n,n*logn
30,420,900,147.2067179
50,1224,2500,282.1928095
70,2379,4900,429.0498112
90,3869,8100,584.2667787
110,5940,12100,745.9495685
130,8349,16900,912.9078157
150,11169,22500,1084.322804
170,13959,28900,1259.596459
190,17889,36100,1438.272566
210,21792,44100,1619.991559
230,26307,52900,1804.462712
250,31115,62500,1991.446071
270,36015,72900,2180.740211
290,41470,84100,2372.173636
310,47817,96100,2565.598566
330,54165,108900,2760.886331
350,60984,122500,2957.923889
370,68259,136900,3156.61114
390,75152,152100,3356.858822
