No. of Elements(n),No. of Comparisions(count),n*n,n*log( n)
50,540,2500,282.1928095
100,1260,10000,664.385619
150,2052,22500,1084.322804
200,2900,40000,1528.771238
250,3818,62500,1991.446071
300,4718,90000,2468.645607
350,5666,122500,2957.923889
400,6648,160000,3457.542476
450,7574,202500,3966.201536
500,8602,250000,4482.892142
550,9558,302500,5006.808295
600,10594,360000,5537.291214
650,11668,422500,6073.79234
700,12714,490000,6615.847778
750,13798,562500,7163.060089
800,14770,640000,7715.084952
850,15962,722500,8271.621176
900,17060,810000,8832.403072
950,18110,902500,9397.194518
