No. of Elements (n),No. of Comparisions (count),n*n,log(n)
30,148,900,4.906890596
50,286,2500,5.64385619
70,432,4900,6.129283017
90,592,8100,6.491853096
110,752,12100,6.781359714
130,914,16900,7.022367813
150,1094,22500,7.22881869
170,1274,28900,7.409390936
190,1454,36100,7.569855608
210,1634,44100,7.714245518
230,1814,52900,7.845490051
250,1994,62500,7.965784285
270,2188,72900,8.076815597
290,2388,84100,8.17990909
310,2588,96100,8.276124405
330,2788,108900,8.366322214
350,2988,122500,8.451211112
370,3188,136900,8.531381461
390,3388,152100,8.607330314
410,3588,168100,8.6794801
430,3788,184900,8.74819285
